ISSN,Título,Área de Avaliação,Classificação
1947-315X,INTERNATIONAL JOURNAL OF E-HEALTH AND MEDICAL COMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,B2
0142-0615,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B2
1741-1068,INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B2
0020-7225,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,CIÊNCIA DA COMPUTAÇÃO,B2
0300-5771,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,CIÊNCIA DA COMPUTAÇÃO,B2
1741-8488,INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B2
1751-6536,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE SYSTEMS ARCHITECTURE,CIÊNCIA DA COMPUTAÇÃO,B2
1550-1876,INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION,CIÊNCIA DA COMPUTAÇÃO,B2
1756-7025,INTERNATIONAL JOURNAL OF INFORMATION AND DECISION SCIENCES,CIÊNCIA DA COMPUTAÇÃO,B2
1935-5688,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS IN THE SERVICE SECTOR,CIÊNCIA DA COMPUTAÇÃO,B2
1751-6498,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B2
1751-648X,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
1477-8386,INTERNATIONAL JOURNAL OF LEARNING TECHNOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
1942-390X,INTERNATIONAL JOURNAL OF MOBILE HUMAN COMPUTER INTERACTION,CIÊNCIA DA COMPUTAÇÃO,B2
1422-0067,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B2
1742-7371,INTERNATIONAL JOURNAL OF PERVASIVE COMPUTING AND COMMUNICATIONS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
1687-7195,INTERNATIONAL JOURNAL OF RECONFIGURABLE COMPUTING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
1049-8923,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
1938-0194,INTERNATIONAL JOURNAL OF WEB PORTALS,CIÊNCIA DA COMPUTAÇÃO,B2
1807-1953,JICS. JOURNAL OF INTEGRATED CIRCUITS AND SYSTEMS (ED. PORTUGUÊS),CIÊNCIA DA COMPUTAÇÃO,B2
0091-6749,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,CIÊNCIA DA COMPUTAÇÃO,B2
0021-9258,JOURNAL OF BIOLOGICAL CHEMISTRY,CIÊNCIA DA COMPUTAÇÃO,B2
0168-1656,JOURNAL OF BIOTECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,B2
1532-429X,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,CIÊNCIA DA COMPUTAÇÃO,B2
1097-6647,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,CIÊNCIA DA COMPUTAÇÃO,B2
0021-9541,JOURNAL OF CELLULAR PHYSIOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
1549-960X,JOURNAL OF CHEMICAL INFORMATION AND MODELING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B2
0959-6526,JOURNAL OF CLEANER PRODUCTION,CIÊNCIA DA COMPUTAÇÃO,B2
2192-113X,"JOURNAL OF CLOUD COMPUTING: ADVANCES, SYSTEMS AND APPLICATIONS",CIÊNCIA DA COMPUTAÇÃO,B2
2051-1310,JOURNAL OF COMPLEX NETWORKS,CIÊNCIA DA COMPUTAÇÃO,B2
2090-7141,JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,B2
2195-3899,"JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS",CIÊNCIA DA COMPUTAÇÃO,B2
0301-4797,JOURNAL OF ENVIRONMENTAL MANAGEMENT,CIÊNCIA DA COMPUTAÇÃO,B2
0148-0227,JOURNAL OF GEOPHYSICAL RESEARCH,CIÊNCIA DA COMPUTAÇÃO,B2
0022-1694,JOURNAL OF HYDROLOGY (AMSTERDAM),CIÊNCIA DA COMPUTAÇÃO,B2
0733-8724,JOURNAL OF LIGHTWAVE TECHNOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
0022-2623,JOURNAL OF MEDICINAL CHEMISTRY,CIÊNCIA DA COMPUTAÇÃO,B2
1550-4646,JOURNAL OF MOBILE MULTIMEDIA,CIÊNCIA DA COMPUTAÇÃO,B2
0895-8696,JOURNAL OF MOLECULAR NEUROSCIENCE,CIÊNCIA DA COMPUTAÇÃO,B2
1180-4882,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,CIÊNCIA DA COMPUTAÇÃO,B2
1094-6705,JOURNAL OF SERVICE RESEARCH,CIÊNCIA DA COMPUTAÇÃO,B2
2047-7481,JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B2
1213-6972,"JOURNAL OF WSCG (PLZEN, PRINT)",CIÊNCIA DA COMPUTAÇÃO,B2
1072-0502,LEARNING & MEMORY,CIÊNCIA DA COMPUTAÇÃO,B2
1996-1944,MATERIALS (BASEL),CIÊNCIA DA COMPUTAÇÃO,B2
0928-4931,"MATERIALS SCIENCE & ENGINEERING. C, BIOMIMETIC MATERIALS, SENSORS AND SYSTEMS (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B2
0888-3270,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,CIÊNCIA DA COMPUTAÇÃO,B2
1742-206X,MOLECULAR BIOSYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
0894-0282,MOLECULAR PLANT-MICROBE INTERACTIONS,CIÊNCIA DA COMPUTAÇÃO,B2
0885-3185,MOVEMENT DISORDERS,CIÊNCIA DA COMPUTAÇÃO,B2
1574-1702,MULTIAGENT AND GRID SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B2
1743-5889,NANOMEDICINE,CIÊNCIA DA COMPUTAÇÃO,B2
1552-4450,NATURE CHEMICAL BIOLOGY,CIÊNCIA DA COMPUTAÇÃO,B2
0896-6273,"NEURON (CAMBRIDGE, MASS.)",CIÊNCIA DA COMPUTAÇÃO,B2
0952-3480,NMR IN BIOMEDICINE,CIÊNCIA DA COMPUTAÇÃO,B2
0305-1048,NUCLEIC ACIDS RESEARCH,CIÊNCIA DA COMPUTAÇÃO,B2
1949-2553,ONCOTARGET,CIÊNCIA DA COMPUTAÇÃO,B2
1094-4087,OPTICS EXPRESS,CIÊNCIA DA COMPUTAÇÃO,B2
1050-2947,PHYSICAL REVIEW. A,CIÊNCIA DA COMPUTAÇÃO,B2
2469-9926,PHYSICAL REVIEW A,CIÊNCIA DA COMPUTAÇÃO,B2
2469-9950,PHYSICAL REVIEW B,CIÊNCIA DA COMPUTAÇÃO,B2
2469-9950,"PHYSICAL REVIEW. B, CONDENSED MATTER AND MATERIALS PHYSICS",CIÊNCIA DA COMPUTAÇÃO,B2
0031-9155,PHYSICS IN MEDICINE AND BIOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
0167-4412,PLANT MOLECULAR BIOLOGY,CIÊNCIA DA COMPUTAÇÃO,B2
0032-0889,PLANT PHYSIOLOGY (BETHESDA),CIÊNCIA DA COMPUTAÇÃO,B2
1935-2735,PLOS NEGLECTED TROPICAL DISEASES (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B2
1932-6203,PLOS ONE,CIÊNCIA DA COMPUTAÇÃO,B2
1932-6203,PLOS ONE,CIÊNCIA DA COMPUTAÇÃO,B2
1932-6203,PLOS ONE,CIÊNCIA DA COMPUTAÇÃO,B2
1135-5948,PROCESAMIENTO DEL LENGUAJE NATURAL,CIÊNCIA DA COMPUTAÇÃO,B2
0033-8419,RADIOLOGY,CIÊNCIA DA COMPUTAÇÃO,B2
0951-8320,RELIABILITY ENGINEERING & SYSTEMS SAFETY,CIÊNCIA DA COMPUTAÇÃO,B2
2072-4292,REMOTE SENSING,CIÊNCIA DA COMPUTAÇÃO,B2
0960-1481,RENEWABLE ENERGY,CIÊNCIA DA COMPUTAÇÃO,B2
1547-6286,RNA BIOLOGY,CIÊNCIA DA COMPUTAÇÃO,B2
2046-2069,RSC ADVANCES: AN INTERNATIONAL JOURNAL TO FURTHER THE CHEMICAL SCIENCES,CIÊNCIA DA COMPUTAÇÃO,B2
1895-1767,SCALABLE COMPUTING. PRACTICE AND EXPERIENCE,CIÊNCIA DA COMPUTAÇÃO,B2
0040-1625,TECHNOLOGICAL FORECASTING & SOCIAL CHANGE,CIÊNCIA DA COMPUTAÇÃO,B2
0040-1951,TECTONOPHYSICS (AMSTERDAM),CIÊNCIA DA COMPUTAÇÃO,B2
0021-9606,THE JOURNAL OF CHEMICAL PHYSICS,CIÊNCIA DA COMPUTAÇÃO,B2
0270-4137,THE PROSTATE (PRINT),CIÊNCIA DA COMPUTAÇÃO,B2
0300-483X,TOXICOLOGY (AMSTERDAM),CIÊNCIA DA COMPUTAÇÃO,B2
0968-090X,"TRANSPORTATION RESEARCH. PART C, EMERGING TECHNOLOGIES",CIÊNCIA DA COMPUTAÇÃO,B2
0041-1655,TRANSPORTATION SCIENCE,CIÊNCIA DA COMPUTAÇÃO,B2
0949-1775,ACCREDITATION AND QUALITY ASSURANCE,CIÊNCIA DA COMPUTAÇÃO,B3
0001-5970,ACTA MECHANICA,CIÊNCIA DA COMPUTAÇÃO,B3
1755-375X,ACTA OPHTHALMOLOGICA (2008. PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0001-706X,ACTA TROPICA,CIÊNCIA DA COMPUTAÇÃO,B3
1610-1928,ACUSTICA UNITED WITH ACTA ACUSTICA,CIÊNCIA DA COMPUTAÇÃO,B3
0188-7009,ADVANCES IN APPLIED CLIFFORD ALGEBRAS,CIÊNCIA DA COMPUTAÇÃO,B3
0001-8708,ADVANCES IN MATHEMATICS (NEW YORK. 1965),CIÊNCIA DA COMPUTAÇÃO,B3
0273-1177,ADVANCES IN SPACE RESEARCH,CIÊNCIA DA COMPUTAÇÃO,B3
0308-521X,AGRICULTURAL SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B3
0001-1452,AIAA JOURNAL (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0363-6119,"AMERICAN JOURNAL OF PHYSIOLOGY. REGULATORY, INTEGRATIVE AND COMPARATIVE PHYSIOLOGY",CIÊNCIA DA COMPUTAÇÃO,B3
0250-6807,ANNALS OF NUTRITION & METABOLISM,CIÊNCIA DA COMPUTAÇÃO,B3
1359-6535,ANTIVIRAL THERAPY (LONDON),CIÊNCIA DA COMPUTAÇÃO,B3
1452-8630,APPLICABLE ANALYSIS AND DISCRETE MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,B3
0003-6870,APPLIED ERGONOMICS,CIÊNCIA DA COMPUTAÇÃO,B3
0969-8043,APPLIED RADIATION AND ISOTOPES,CIÊNCIA DA COMPUTAÇÃO,B3
0003-7028,APPLIED SPECTROSCOPY,CIÊNCIA DA COMPUTAÇÃO,B3
0003-9861,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0003-9888,ARCHIVES OF DISEASE IN CHILDHOOD,CIÊNCIA DA COMPUTAÇÃO,B3
0197-8462,BIOELECTROMAGNETICS,CIÊNCIA DA COMPUTAÇÃO,B3
1745-6150,BIOLOGY DIRECT,CIÊNCIA DA COMPUTAÇÃO,B3
1475-925X,BIOMEDICAL ENGINEERING ONLINE (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
0753-3322,BIOMEDICINE & PHARMACOTHERAPY,CIÊNCIA DA COMPUTAÇÃO,B3
0323-3847,BIOMETRICAL JOURNAL (1977),CIÊNCIA DA COMPUTAÇÃO,B3
1537-5110,BIOSYSTEMS ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B3
0736-6205,BIOTECHNIQUES,CIÊNCIA DA COMPUTAÇÃO,B3
1471-2407,BMC CANCER (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
1471-2121,BMC CELL BIOLOGY (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
1755-8794,BMC MEDICAL GENOMICS,CIÊNCIA DA COMPUTAÇÃO,B3
1471-2180,BMC MICROBIOLOGY (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
2044-6055,BMJ OPEN,CIÊNCIA DA COMPUTAÇÃO,B3
2317-4889,BRAZILIAN JOURNAL OF GEOLOGY,CIÊNCIA DA COMPUTAÇÃO,B3
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1867-0202,BUSINESS & INFORMATION SYSTEMS ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B3
1895-1082,CENTRAL EUROPEAN JOURNAL OF PHYSICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1054-1500,"CHAOS (WOODBURY, N.Y.)",CIÊNCIA DA COMPUTAÇÃO,B3
1089-7682,"CHAOS (WOODBURY, N.Y. ONLINE)",CIÊNCIA DA COMPUTAÇÃO,B3
0366-7022,CHEMISTRY LETTERS,CIÊNCIA DA COMPUTAÇÃO,B3
0278-081X,"CIRCUITS, SYSTEMS, AND SIGNAL PROCESSING",CIÊNCIA DA COMPUTAÇÃO,B3
0303-402X,COLLOID AND POLYMER SCIENCE (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1748-670X,COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1420-0597,COMPUTATIONAL GEOSCIENCES (AMSTERDAM),CIÊNCIA DA COMPUTAÇÃO,B3
1538-2931,"COMPUTERS, INFORMATICS, NURSING (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B3
0967-0661,CONTROL ENGINEERING PRACTICE,CIÊNCIA DA COMPUTAÇÃO,B3
1389-2029,CURRENT GENOMICS,CIÊNCIA DA COMPUTAÇÃO,B3
0929-8673,CURRENT MEDICINAL CHEMISTRY,CIÊNCIA DA COMPUTAÇÃO,B3
1043-4666,CYTOKINE,CIÊNCIA DA COMPUTAÇÃO,B3
1552-4922,CYTOMETRY. PART A,CIÊNCIA DA COMPUTAÇÃO,B3
0376-8716,DRUG AND ALCOHOL DEPENDENCE,CIÊNCIA DA COMPUTAÇÃO,B3
0304-3800,ECOLOGICAL MODELLING,CIÊNCIA DA COMPUTAÇÃO,B3
1532-5008,ELECTRIC POWER COMPONENTS AND SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B3
0378-7796,ELECTRIC POWER SYSTEMS RESEARCH (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0948-7921,ELECTRICAL ENGINEERING (BERLIN. PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0717-3458,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,B3
1996-1073,ENERGIES (BASEL),CIÊNCIA DA COMPUTAÇÃO,B3
1099-4300,ENTROPY (BASEL. ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
1352-8505,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,CIÊNCIA DA COMPUTAÇÃO,B3
0167-6369,ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1225-6463,ETRI JOURNAL,CIÊNCIA DA COMPUTAÇÃO,B3
1951-6355,EUR. PHYS. J. SPECIAL TOPICS,CIÊNCIA DA COMPUTAÇÃO,B3
0954-3007,EUROPEAN JOURNAL OF CLINICAL NUTRITION,CIÊNCIA DA COMPUTAÇÃO,B3
1751-5254,EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B3
1434-6036,"EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER AND COMPLEX SYSTEMS (INTERNET)",CIÊNCIA DA COMPUTAÇÃO,B3
0938-7994,EUROPEAN RADIOLOGY,CIÊNCIA DA COMPUTAÇÃO,B3
0295-5075,EUROPHYSICS LETTERS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1746-0441,EXPERT OPINION ON DRUG DISCOVERY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1742-5255,EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,CIÊNCIA DA COMPUTAÇÃO,B3
0363-2415,"FISHERIES (BETHESDA, MD.)",CIÊNCIA DA COMPUTAÇÃO,B3
0955-5986,FLOW MEASUREMENT AND INSTRUMENTATION,CIÊNCIA DA COMPUTAÇÃO,B3
0956-7135,FOOD CONTROL,CIÊNCIA DA COMPUTAÇÃO,B3
0963-9969,FOOD RESEARCH INTERNATIONAL,CIÊNCIA DA COMPUTAÇÃO,B3
0379-0738,FORENSIC SCIENCE INTERNATIONAL,CIÊNCIA DA COMPUTAÇÃO,B3
1662-453X,FRONTIERS IN NEUROSCIENCE,CIÊNCIA DA COMPUTAÇÃO,B3
1664-1078,FRONTIERS IN PSYCHOLOGY,CIÊNCIA DA COMPUTAÇÃO,B3
1756-8919,FUTURE MEDICINAL CHEMISTRY,CIÊNCIA DA COMPUTAÇÃO,B3
1756-8919,FUTURE MEDICINAL CHEMISTRY,CIÊNCIA DA COMPUTAÇÃO,B3
0378-1119,GENE (AMSTERDAM),CIÊNCIA DA COMPUTAÇÃO,B3
1351-8216,HAEMOPHILIA (OXFORD. PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0262-6667,HYDROLOGICAL SCIENCES JOURNAL,CIÊNCIA DA COMPUTAÇÃO,B3
2169-3536,IEEE ACCESS,CIÊNCIA DA COMPUTAÇÃO,B3
1939-1404,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,CIÊNCIA DA COMPUTAÇÃO,B3
1943-0655,IEEE PHOTONICS JOURNAL,CIÊNCIA DA COMPUTAÇÃO,B3
0018-9464,IEEE TRANSACTIONS ON MAGNETICS,CIÊNCIA DA COMPUTAÇÃO,B3
0885-8977,IEEE TRANSACTIONS ON POWER DELIVERY,CIÊNCIA DA COMPUTAÇÃO,B3
1751-8687,"IET GENERATION, TRANSMISSION & DISTRIBUTION (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B3
1751-8733,"IET MICROWAVES, ANTENNAS & PROPAGATION (ONLINE)",CIÊNCIA DA COMPUTAÇÃO,B3
1751-8725,"IET MICROWAVES, ANTENNAS & PROPAGATION (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B3
0266-6669,INFORMATION DEVELOPMENT,CIÊNCIA DA COMPUTAÇÃO,B3
1757-9694,INTEGRATIVE BIOLOGY: A NEW JOURNAL OF QUANTITATIVE BIOSCIENCES FROM NANO TO MACRO,CIÊNCIA DA COMPUTAÇÃO,B3
1741-5659,INTERACTIVE TECHNOLOGY AND SMART EDUCATION,CIÊNCIA DA COMPUTAÇÃO,B3
0268-3768,"INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY",CIÊNCIA DA COMPUTAÇÃO,B3
2040-7939,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0029-5981,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1687-5877,INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
1687-5869,INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1383-5416,INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,CIÊNCIA DA COMPUTAÇÃO,B3
0218-1274,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS IN APPLIED SCIENCES AND ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B3
0949-149X,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,CIÊNCIA DA COMPUTAÇÃO,B3
0129-1831,INTERNATIONAL JOURNAL OF MODERN PHYSICS C,CIÊNCIA DA COMPUTAÇÃO,B3
0301-9322,INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,CIÊNCIA DA COMPUTAÇÃO,B3
1110-662X,INTERNATIONAL JOURNAL OF PHOTOENERGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0925-5273,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,CIÊNCIA DA COMPUTAÇÃO,B3
0143-1161,INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0020-7748,INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,CIÊNCIA DA COMPUTAÇÃO,B3
0160-0176,INTERNATIONAL REGIONAL SCIENCE REVIEW,CIÊNCIA DA COMPUTAÇÃO,B3
0266-5611,INVERSE PROBLEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
2220-9964,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,CIÊNCIA DA COMPUTAÇÃO,B3
2090-4355,ISRN COMMUNICATIONS AND NETWORKING,CIÊNCIA DA COMPUTAÇÃO,B3
1984-2902,ISYS: REVISTA BRASILEIRA DE SISTEMAS DE INFORMAÇÃO,CIÊNCIA DA COMPUTAÇÃO,B3
0197-6729,JOURNAL OF ADVANCED TRANSPORTATION,CIÊNCIA DA COMPUTAÇÃO,B3
0021-8693,JOURNAL OF ALGEBRA (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0926-9851,JOURNAL OF APPLIED GEOPHYSICS,CIÊNCIA DA COMPUTAÇÃO,B3
0021-9002,JOURNAL OF APPLIED PROBABILITY,CIÊNCIA DA COMPUTAÇÃO,B3
1931-3195,JOURNAL OF APPLIED REMOTE SENSING,CIÊNCIA DA COMPUTAÇÃO,B3
0021-9045,JOURNAL OF APPROXIMATION THEORY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0739-1102,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,CIÊNCIA DA COMPUTAÇÃO,B3
1532-3145,JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
0022-0396,JOURNAL OF DIFFERENTIAL EQUATIONS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0374-3535,JOURNAL OF ELASTICITY,CIÊNCIA DA COMPUTAÇÃO,B3
0022-0833,JOURNAL OF ENGINEERING MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,B3
0889-1575,JOURNAL OF FOOD COMPOSITION AND ANALYSIS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
1972-5787,JOURNAL OF FORMALIZED REASONING,CIÊNCIA DA COMPUTAÇÃO,B3
2178-7107,JOURNAL OF INFORMATION AND DATA MANAGEMENT - JIDM,CIÊNCIA DA COMPUTAÇÃO,B3
2178-7107,JOURNAL OF INFORMATION AND DATA MANAGEMENT - JIDM,CIÊNCIA DA COMPUTAÇÃO,B3
1672-9072,JOURNAL OF INTEGRATIVE PLANT BIOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0950-4230,JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,CIÊNCIA DA COMPUTAÇÃO,B3
0022-247X,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0022-2488,JOURNAL OF MATHEMATICAL PHYSICS,CIÊNCIA DA COMPUTAÇÃO,B3
0022-2860,JOURNAL OF MOLECULAR STRUCTURE (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0047-259X,JOURNAL OF MULTIVARIATE ANALYSIS,CIÊNCIA DA COMPUTAÇÃO,B3
1533-4880,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0195-9298,JOURNAL OF NONDESTRUCTIVE EVALUATION,CIÊNCIA DA COMPUTAÇÃO,B3
0920-4105,JOURNAL OF PETROLEUM SCIENCE & ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B3
0269-8811,JOURNAL OF PSYCHOPHARMACOLOGY (OXFORD),CIÊNCIA DA COMPUTAÇÃO,B3
1687-725X,JOURNAL OF SENSORS,CIÊNCIA DA COMPUTAÇÃO,B3
1687-725X,JOURNAL OF SENSORS,CIÊNCIA DA COMPUTAÇÃO,B3
2195-1721,JOURNAL OF SOFTWARE ENGINEERING RESEARCH AND DEVELOPMENT,CIÊNCIA DA COMPUTAÇÃO,B3
0022-460X,JOURNAL OF SOUND AND VIBRATION,CIÊNCIA DA COMPUTAÇÃO,B3
1742-5468,JOURNAL OF STATISTICAL MECHANICS,CIÊNCIA DA COMPUTAÇÃO,B3
0022-4715,JOURNAL OF STATISTICAL PHYSICS,CIÊNCIA DA COMPUTAÇÃO,B3
1933-1711,JOURNAL OF THE AMERICAN SOCIETY OF HYPERTENSION,CIÊNCIA DA COMPUTAÇÃO,B3
0103-5053,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (IMPRESSO),CIÊNCIA DA COMPUTAÇÃO,B3
1678-5878,JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (IMPRESSO),CIÊNCIA DA COMPUTAÇÃO,B3
0740-3224,"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. B, OPTICAL PHYSICS",CIÊNCIA DA COMPUTAÇÃO,B3
2236-3297,JOURNAL ON 3D INTERACTIVE SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B3
1477-1535,LIGHTING RESEARCH AND TECHNOLOGY (2001. PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0024-3795,LINEAR ALGEBRA AND ITS APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,B3
0308-1087,LINEAR AND MULTILINEAR ALGEBRA,CIÊNCIA DA COMPUTAÇÃO,B3
1475-2875,MALARIA JOURNAL (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
1516-1439,MATERIALS RESEARCH (SÃO CARLOS. IMPRESSO),CIÊNCIA DA COMPUTAÇÃO,B3
0170-4214,MATHEMATICAL METHODS IN THE APPLIED SCIENCES,CIÊNCIA DA COMPUTAÇÃO,B3
1563-5147,MATHEMATICAL PROBLEMS IN ENGINEERING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
1024-123X,MATHEMATICAL PROBLEMS IN ENGINEERING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0263-2241,MEASUREMENT (LONDON. PRINT),CIÊNCIA DA COMPUTAÇÃO,B3
0925-4773,MECHANISMS OF DEVELOPMENT,CIÊNCIA DA COMPUTAÇÃO,B3
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,CIÊNCIA DA COMPUTAÇÃO,B3
1741-0444,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B3
